domain_name,tld,auction_price,bulk_score,ling_score,ling_adjusted,gate_reason
netsum.com,com,7.99,10,6.8,6.8,
catnet.co,co,7.99,10,6.8,6.6,
proskore.com,com,7.99,10,6.95,6.95,
burkedesign.com,com,0.0,7,6.5,6.5,
webinar.now,now,7.99,10,6.8,6.0,
properla.com,com,0.0,10,6.95,6.95,
brosshop.com,com,0.0,9,6.9,6.9,
codevibe.org,org,0.0,10,7.2,7.0,
mayoshop.com,com,0.0,10,7.1,7.1,
emisfer.com,com,1.0,10,6.2,6.2,
bimaxpro.com,com,0.0,10,6.75,6.75,
findujour.com,com,0.0,9,7.1,7.1,
profiwin.com,com,0.0,10,6.95,6.95,
fastjobs.net,net,1.0,8,6.9,6.7,
avector.com,com,0.0,10,6.2,6.2,
bestgain.com,com,0.0,10,6.9,6.9,
morer.com,com,0.0,10,6.2,6.2,
webvilles.org,org,0.0,8,6.75,6.55,
hireme.now,now,7.99,10,7.15,6.35,
mastertech.org,org,0.0,8,6.95,6.75,
glink.io,io,7.99,9,6.7,6.5,
youify.com,com,7.99,10,6.7,6.7,
mediavault.com,com,0.0,9,6.55,6.55,
novoucher.com,com,0.0,8,6.55,6.55,
flexizone.com,com,1.0,9,6.75,6.75,
ivgtech.com,com,1.0,10,6.95,6.95,
livenergy.com,com,1.0,8,6.65,6.65,
samobor.com,com,1.0,10,6.2,6.2,
allaslive.com,com,7.99,9,6.85,6.85,
mivzaklive.com,com,1.0,9,6.7,6.7,
coderpress.com,com,1.0,8,6.75,6.75,
sexyzone.com,com,0.0,10,6.55,6.55,
pilanova.com,com,1.0,10,6.35,6.35,
sealglobal.com,com,1.0,8,6.5,6.5,
youcanlead.com,com,1.0,9,6.3,6.3,
